Time,Sensor1,Sensor2,Sensor3,Sensor4
3.12,0,0,0,0,
3.121,0,0,0,0,
3.152,0,0,0,0,
3.153,0,0,0,0,
3.154,0,0,0,0,
3.154,0,0,0,0,
3.188,0,0,0,0,
3.188,0,0,0,0,
3.189,0,0,0,0,
3.194,0,0,0,0,
3.227,0,0,0,0,
3.228,0,0,0,0,
3.228,0,0,0,0,
3.229,0,0,0,0,
3.269,0,0,0,0,
3.269,0,0,0,0,
3.27,0,0,0,0,
3.27,0,0,0,0,
3.277,0,0,0,0,
3.308,0,0,0,0,
3.309,0,0,0,0,
3.309,0,0,0,0,
3.316,0,0,0,0,
3.347,0,0,0,0,
3.348,0,0,0,0,
3.351,0,0,0,0,
3.351,0,0,0,0,
3.384,0,0,0,0,
3.384,0,0,0,0,
3.384,0,0,0,0,
3.385,0,0,0,0,
3.416,0,0,0,0,
3.417,0,0,0,0,
3.417,0,0,0,0,
3.45,0,0,0,0,
3.45,0,0,0,0,
3.451,0,0,0,0,
3.452,0,0,0,0,
3.484,0,0,0,0,
3.484,0,0,0,0,
3.484,0,0,0,0,
3.489,0,0,0,0,
3.521,0,0,0,0,
3.522,0,0,0,0,
3.522,0,0,0,0,
3.529,0,0,0,0,
3.562,0,0,0,0,
3.562,0,0,0,0,
3.562,0,0,0,0,
3.566,0,0,0,0,
3.574,0,0,0,0,
3.606,0,0,0,0,
3.606,0,0,0,0,
3.607,0,0,0,0,
3.611,0,0,0,0,
3.643,0,0,0,0,
3.643,0,0,0,0,
3.644,0,0,0,0,
3.649,0,0,0,0,
3.68,0,0,0,0,
3.68,0,0,0,0,
3.681,0,0,0,0,
3.685,0,0,0,0,
3.717,0,0,0,0,
3.717,0,0,0,0,
3.717,0,0,0,0,
3.723,0,0,0,0,
3.754,0,0,0,0,
3.755,0,0,0,0,
3.755,0,0,0,0,
3.759,0,0,0,0,
3.791,0,0,0,0,
3.791,0,0,0,0,
3.792,0,0,0,0,
3.797,0,0,0,0,
3.854,0,0,0,0,
3.854,0,0,0,0,
3.854,0,0,0,0,
3.854,0,0,0,0,
3.855,0,0,0,0,
3.855,0,0,0,0,
3.887,0,0,0,0,
3.887,0,0,0,0,
3.888,0,0,0,0,
3.888,0,0,0,0,
3.92,0,0,0,0,
3.92,0,0,0,0,
3.92,0,0,0,0,
3.952,0,0,0,0,
3.953,0,0,0,0,
3.954,0,0,0,0,
3.954,0,0,0,0,
3.986,0,0,0,0,
3.986,0,0,0,0,
3.987,0,0,0,0,
4.018,0,0,0,0,
4.018,0,0,0,0,
4.019,0,0,0,0,
4.02,0,0,0,0,
4.053,0,0,0,0,
4.054,0,0,0,0,
4.055,0,0,0,0,
4.059,0,0,0,0,
4.092,0,0,0,0,
4.092,0,0,0,0,
4.092,0,0,0,0,
4.092,0,0,0,0,
4.124,0,0,0,0,
4.124,0,0,0,0,
4.125,0,0,0,0,
4.158,0,0,0,0,
4.158,0,0,0,0,
4.158,0,0,0,0,
4.162,0,0,0,0,
4.195,0,0,0,0,
4.195,0,0,0,0,
4.196,0,0,0,0,
4.2,0,0,0,0,
4.233,0,0,0,0,
4.233,0,0,0,0,
4.233,0,0,0,0,
4.237,0,0,0,0,
4.27,0,0,0,0,
4.271,0,0,0,0,
4.271,0,0,0,0,
4.271,0,0,0,0,
4.304,0,0,0,0,
4.305,0,0,0,0,
4.305,0,0,0,0,
4.337,0,0,0,0,
4.337,0,0,0,0,
4.337,0,0,0,0,
4.338,0,0,0,0,
4.369,0,0,0,0,
4.37,0,0,0,0,
4.37,0,0,0,0,
4.402,0,0,0,0,
4.402,0,0,0,0,
4.402,0,0,0,0,
4.403,0,0,0,0,
4.438,0,0,0,0,
4.438,0,0,0,0,
4.439,0,0,0,0,
4.439,0,0,0,0,
4.471,0,0,0,0,
4.471,0,0,0,0,
4.471,0,0,0,0,
4.503,0,0,0,0,
4.504,0,0,0,0,
4.504,0,0,0,0,
4.505,0,0,0,0,
4.535,0,0,0,0,
4.536,0,0,0,0,
4.536,0,0,0,0,
4.536,0,0,0,0,
4.544,0,0,0,0,
4.575,0,0,0,0,
4.575,0,0,0,0,
4.576,0,0,0,0,
4.607,0,0,0,0,
4.608,0,0,0,0,
4.608,0,0,0,0,
4.608,0,0,0,0,
4.64,0,0,0,0,
4.64,0,0,0,0,
4.641,0,0,0,0,
4.647,0,0,0,0,
4.679,0,0,0,0,
4.679,0,0,0,0,
4.68,0,0,0,0,
4.68,0,0,0,0,
4.712,0,0,0,0,
4.712,0,0,0,0,
4.712,0,0,0,0,
4.721,0,0,0,0,
4.753,0,0,0,0,
4.754,0,0,0,0,
4.755,0,0,0,0,
4.755,0,0,0,0,
4.787,0,0,0,0,
4.788,0,0,0,0,
4.789,0,0,0,0,
4.822,0,0,0,0,
4.822,0,0,0,0,
4.823,0,0,0,0,
4.823,0,0,0,0,
4.856,0,0,0,0,
4.856,0,0,0,0,
4.857,0,0,0,0,
4.863,0,0,0,0,
4.897,0,0,0,0,
4.898,0,0,0,0,
4.899,0,0,0,0,
4.899,0,0,0,0,
4.932,0,0,0,0,
4.932,0,0,0,0,
4.933,0,0,0,0,
4.964,0,0,0,0,
4.965,0,0,0,0,
4.966,0,0,0,0,
4.966,0,0,0,0,
5.018,0,0,0,0,
5.018,0,0,0,0,
5.018,0,0,0,0,
5.019,0,0,0,0,
5.019,0,0,0,0,
5.026,0,0,0,0,
5.058,0,0,0,0,
5.058,0,0,0,0,
5.058,0,0,0,0,
5.059,0,0,0,0,
5.09,0,0,0,0,
5.091,0,0,0,0,
5.093,0,0,0,0,
5.098,0,0,0,0,
5.129,0,0,0,0,
5.13,0,0,0,0,
5.13,0,0,0,0,
5.13,0,0,0,0,
5.162,0,0,0,0,
5.163,0,0,0,0,
5.163,0,0,0,0,
5.197,0,0,0,0,
5.197,0,0,0,0,
5.197,0,0,0,0,
5.198,0,0,0,0,
5.231,0,0,0,0,
5.231,0,0,0,0,
5.231,0,0,0,0,
5.238,0,0,0,0,
5.271,0,0,0,0,
5.271,0,0,0,0,
5.272,0,0,0,0,
5.276,0,0,0,0,
5.282,0,0,0,0,
5.314,0,0,0,0,
5.314,0,0,0,0,
5.315,0,0,0,0,
5.321,0,0,0,0,
5.353,0,0,0,0,
5.353,0,0,0,0,
5.353,0,0,0,0,
5.354,0,0,0,0,
5.386,0,0,0,0,
5.386,0,0,0,0,
5.386,0,0,0,0,
5.419,0,0,0,0,
5.42,0,0,0,0,
5.42,0,0,0,0,
5.42,0,0,0,0,
5.453,0,0,0,0,
5.454,0,0,0,0,
5.454,0,0,0,0,
5.461,0,0,0,0,
5.494,0,0,0,0,
5.494,0,0,0,0,
5.494,0,0,0,0,
5.498,0,0,0,0,
5.531,0,0,0,0,
5.532,0,0,0,0,
5.533,0,0,0,0,
5.534,0,0,0,0,
5.567,0,0,0,0,
5.567,0,0,0,0,
5.567,0,0,0,0,
5.574,0,0,0,0,
5.601,0,0,0,0,
5.602,0,0,0,0,
5.603,0,0,0,0,
5.635,0,0,0,0,
5.635,0,0,0,0,
5.636,0,0,0,0,
5.636,0,0,0,0,
5.668,0,0,0,0,
5.668,0,0,0,0,
5.669,0,0,0,0,
5.7,0,0,0,0,
5.701,0,0,0,0,
5.701,0,0,0,0,
5.702,0,0,0,0,
5.733,0,0,0,0,
5.733,0,0,0,0,
5.734,0,0,0,0,
5.765,0,0,0,0,
5.766,0,0,0,0,
5.767,0,0,0,0,
5.768,0,0,0,0,
5.799,0,0,0,0,
5.799,0,0,0,0,
5.799,0,0,0,0,
5.806,0,0,0,0,
5.815,0,0,0,0,
5.846,0,0,0,0,
5.846,0,0,0,0,
5.847,0,0,0,0,
5.878,0,0,0,0,
5.878,0,0,0,0,
5.879,0,0,0,0,
5.879,0,0,0,0,
5.911,0,0,0,0,
5.911,0,0,0,0,
5.912,0,0,0,0,
5.917,0,0,0,0,
5.949,0,0,0,0,
5.949,0,0,0,0,
5.95,0,0,0,0,
5.95,0,0,0,0,
5.982,0,0,0,0,
5.982,0,0,0,0,
5.982,0,0,0,0,
6.015,0,0,0,0,
6.015,0,0,0,0,
6.016,0,0,0,0,
6.018,0,0,0,0,
6.05,0,0,0,0,
6.051,0,0,0,0,
6.052,0,0,0,0,
6.056,0,0,0,0,
6.091,0,0,0,0,
6.091,0,0,0,0,
6.091,0,0,0,0,
6.092,0,0,0,0,
6.125,0,0,0,0,
6.125,0,0,0,0,
6.125,0,0,0,0,
6.132,0,0,0,0,
6.19,0,0,0,0,
6.19,0,0,0,0,
6.191,0,0,0,0,
6.191,0,0,0,0,
6.191,0,0,0,0,
6.192,0,0,0,0,
6.223,0,0,0,0,
6.224,0,0,0,0,
6.224,0,0,0,0,
6.226,0,0,0,0,
6.257,0,0,0,0,
6.258,0,0,0,0,
6.26,0,0,0,0,
6.261,0,0,0,0,
6.294,0,0,0,0,
6.294,0,0,0,0,
6.295,0,0,0,0,
6.326,0,0,0,0,
6.327,0,0,0,0,
6.327,0,0,0,0,
6.327,0,0,0,0,
6.359,0,0,0,0,
6.359,0,0,0,0,
6.359,0,0,0,0,
6.392,0,0,0,0,
6.393,0,0,0,0,
6.393,0,0,0,0,
6.393,0,0,0,0,
6.426,0,0,0,0,
6.426,0,0,0,0,
6.427,0,0,0,0,
6.427,0,0,0,0,
6.46,0,0,0,0,
6.461,0,0,0,0,
6.461,0,0,0,0,
6.467,0,0,0,0,
6.5,0,0,0,0,
6.501,0,0,0,0,
6.502,0,0,0,0,
6.506,0,0,0,0,
6.54,0,0,0,0,
6.54,0,0,0,0,
6.541,0,0,0,0,
6.545,0,0,0,0,
